connectance,num_species,remaining_species_ct
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
0.1,5,5
0.1,10,10
0.1,15,15
0.1,30,30
0.1,50,50
0.15,5,5
0.15,10,10
0.15,15,15
0.15,30,30
0.15,50,50
0.2,5,5
0.2,10,10
0.2,15,15
0.2,30,30
0.2,50,50
0.25,5,5
0.25,10,10
0.25,15,15
0.25,30,30
0.25,50,50
0.3,5,5
0.3,10,10
0.3,15,15
0.3,30,30
0.3,50,50
